name,primary_contact_name,primary_mobile,alternate_mobile,whatsapp_number,email,deals_in,address,city,pincode,timings,website,remarks,is_active
Taruna Gupta,,9914610170,,,,Ghaziabad,,,,,,"Last purchased: 13th May 2024 | [Imported from supplier master sheet, Supplier ID 143]",True
Sonam Mendon,,7507775683,,,,,Platinum B2-2702,,,,,"Last purchased: 13th May 2024 | [Imported from supplier master sheet, Supplier ID 144]",True
Myra,,8976460680,,,,,,,,,,"Last purchased: 13th May 2024 | [Imported from supplier master sheet, Supplier ID 145]",True
Darshana - The chef bone inside,,9172090006,,,,Baker Thane,Thane,,,,,"Last purchased: 13th May 2024 | [Imported from supplier master sheet, Supplier ID 146]",True
Thakar Adivasi Kala Aangan,Chetan Gangavane,9987653909,,,,"Museum & Art Gallery. Art Gallery, Agro Tourism, art workshop, puppet show, cultural study tour, chitrakathi workshop, shadow puppet show. Shadow puppet making workshop","A/p pinguli (gudhipur), NH-66, Tal. Kudal, dist. sindudurg, maharasthra, India 416528",,,,Story of Panchtantra - audio with,"Shadow Puppet Show, Shadow puppet making show. 3500 including travelling | Last purchased: 29th May 2024 | [Imported from supplier master sheet, Supplier ID 147]",True
Jyoti Kolkata Rakhi,,7838856426,,,,,,,,,,"Last purchased: 29th May 2024 | [Imported from supplier master sheet, Supplier ID 148]",True
Ruchi Rakhi Agra,,9557531501,,,,,,,,,,"Last purchased: 30th May 2024 | [Imported from supplier master sheet, Supplier ID 149]",True
Lalit,,9953750712,,,,,,,,,,"Last purchased: 3rd June 2024 | [Imported from supplier master sheet, Supplier ID 150]",True
Star Return Gift,,9994806209,,,,Roli Chawal pack vendor,,,,,,"https://www.instagram.com/star_return_gifts/ | Last purchased: 3rd June 2024 | [Imported from supplier master sheet, Supplier ID 151]",True
riddhi_shiddhi__creation_,,,,,,Roli Chawal pack vendor,,,,,,"Last purchased: 3rd June 2024 | [Imported from supplier master sheet, Supplier ID 152]",True
Sheetal Pottery,,8750544211,,,,,,,,,,"Last purchased: 6th June 2024 | [Imported from supplier master sheet, Supplier ID 153]",True
Vistara,,,,,,,,,,,,"Last purchased: 10th June 2024 | [Imported from supplier master sheet, Supplier ID 154]",True
Auto Guy Sion,,7666055373,,,,,,,,,,"Last purchased: 10th June 2024 | [Imported from supplier master sheet, Supplier ID 155]",True
Jinsa Trade Link,,8606117567,,,,,,,,,,"Last purchased: 10th June 2024 | [Imported from supplier master sheet, Supplier ID 156]",True
Airbnb,,,,,,,,,,,,"Last purchased: 10th June 2024 | [Imported from supplier master sheet, Supplier ID 157]",True
Porter,,,,,,,,,,,,"Last purchased: 10th June 2024 | [Imported from supplier master sheet, Supplier ID 158]",True
Manish Enterprises,,7217731741,,,,,,,,,,"Last purchased: 13th June 2024 | [Imported from supplier master sheet, Supplier ID 159]",True
Vimmi,,,,,,,,,,,,"Last purchased: 13th June 2024 | [Imported from supplier master sheet, Supplier ID 160]",True
5 Star,,,,,,,,,,,,"Last purchased: 13th June 2024 | [Imported from supplier master sheet, Supplier ID 161]",True
Neartail,,,,,,,,,,,,"Last purchased: 16th June 2024 | [Imported from supplier master sheet, Supplier ID 162]",True
Kukdukoo Stall,,8595966845,,,,,,,,,,"Last purchased: 16th June 2024 | [Imported from supplier master sheet, Supplier ID 163]",True
Siddesh Trackon Courier,,7021111922,,,,,,,,,,"Last purchased: 16th June 2024 | [Imported from supplier master sheet, Supplier ID 164]",True
HDFC Contact for QR Code,Yashwant,9137989941,,,,,,,,,,"Last purchased: 18th June 2024 | [Imported from supplier master sheet, Supplier ID 165]",True
Apeksha Storyteller Ghatkopar,,9819581065,,,,Instructor,,,,,,"Last purchased: 1st July 2024 | [Imported from supplier master sheet, Supplier ID 166]",True
Tagore Nagar Royal Stationery,,,,,,,,,,,,"Last purchased: 15th July 2024 | [Imported from supplier master sheet, Supplier ID 167]",True
Chetan Gangavane Chitrakathi,,9987653909,,,,,,,,,,"Last purchased: 21st July 2024 | [Imported from supplier master sheet, Supplier ID 168]",True
Mahavir Enterprises,,9324656539,,,,,,,,,,"Last purchased: 23rd July 2024 | [Imported from supplier master sheet, Supplier ID 169]",True
Arihant Packaging,,,,,,,,,,,,"Last purchased: 23rd July 2024 | [Imported from supplier master sheet, Supplier ID 170]",True
Logotrademark Surat,,9904131705,,,,,,,,,,"Last purchased: 23rd July 2024 | [Imported from supplier master sheet, Supplier ID 171]",True
Digibells,,9560026613,,,,,,,,,,"Last purchased: 24th July 2024 | [Imported from supplier master sheet, Supplier ID 172]",True
Shaadi Sakhi,,,,,,Marketing,,,,,,"Last purchased: 24th July 2024 | [Imported from supplier master sheet, Supplier ID 173]",True
Mahavir Enterprises Navi Mumbai,,,,,,Furniture,,,,,,"Last purchased: 23rd July 2024 | [Imported from supplier master sheet, Supplier ID 174]",True
BohoLife Perfume,,,,,,Gift Shop,,,,,,"[Imported from supplier master sheet, Supplier ID 175]",True
Taxi,,,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 176]",True
Train,,,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 177]",True
Siri Bags LLP,,9867102510,,,siribags@gmail.com,Packaging,"229, Abdul rehman street, Mumbai 4000003",,,,,"[Imported from supplier master sheet, Supplier ID 178]",True
Classic Creation,Hussain,8169262552,,,,"Wholesaler in gift, toys, stationery. Takes birthday party orders also","324-A, Abdul Rehman Street, Crawford Market, Mumbai 400003",,,,,"[Imported from supplier master sheet, Supplier ID 179]",True
Laxmi All Creation,,9950518039,,,laxmanharwani1975@gmail.com,"Kurti, Topers, Skirts, Plazo, Pant set, skirt set, jaipuri Nagra shoes, juties, kolhapuri chappel. Hand block print, jaipuri bedsheet, rajai, bandhini, block print and sari","Shop No. 9, Link Road, Bapu Bazaar, Jaipur",,,,,"[Imported from supplier master sheet, Supplier ID 180]",True
Ashok Button Store,Yogesh Bhutani,8239592934,8290365128,,,,"1-A, Link Road, Bapu Bazar, Jaipur 302003",,,,,"[Imported from supplier master sheet, Supplier ID 181]",True
Badshah Store,Aftab Abdul Azim,,,,badshahstore@gmail.com,"Wholesale dealers toys, sports, games, play group nursery products","286, Abdul Rehman Street, Mumbai 400003",,,,,"Office: 23436229 | [Imported from supplier master sheet, Supplier ID 182]",True
Shivam Digital Studio & Printing,Yogesh Kumar,7065690004,,,sdsp9219@gmail.com,,"M-213, Shakurpur, Near Britannia Chowk, Delhi 110034",,,,,"[Imported from supplier master sheet, Supplier ID 183]",True
Google Ads Manager,,,,,,Ads for performance marketing,,,,,,"Last purchased: 13th August 2024 | [Imported from supplier master sheet, Supplier ID 184]",True
Flipkart Ads Manager,,,,,,Ads for performance marketing,,,,,,"Last purchased: 14th August 2024 | [Imported from supplier master sheet, Supplier ID 185]",True
Printronics,,,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 186]",True
Pratima Rai - Godrej Central Chembur,,9967149486,,,,Marketing,,,,,,"Last purchased: 22nd August 2024 | [Imported from supplier master sheet, Supplier ID 187]",True
Tattoo Artist - Sakshi,,8767942961,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 188]",True
"Fatema Decorators, Vikhroli",,9987811096,,,,Decorator,,,,,,"[Imported from supplier master sheet, Supplier ID 189]",True
Color Craft Cats,Foziya Siddiquee (Founder),9810469517,,,colorcraftcats@gmail.com,Manufacturer,,,,,,"Kids India, BKC Jio World Drive | Last purchased: 15th Sept 2024 | [Imported from supplier master sheet, Supplier ID 190]",True
Skillmatics Grasper Global Pvt Ltd,Amit Roshan Rajoria (Sr. Sales Executive),8080401118,,,amit.rajoria@grasperglobal.com,Art Store — Manufacturer,"Unit 8, Ground Floor, Nirlon House, Dr. Annie Besant Road, Worli, Mumbai",,,,,"Kids India, BKC Jio World Drive | Last purchased: 15th Sept 2024 | [Imported from supplier master sheet, Supplier ID 191]",True
Chanak,Sujata Chavan (Area Sales Executive),9371018333,,,sales.gt@adititoys.com,Toys — Manufacturer,"# 301/305, Reena Complex, Vidyavihar West Mumbai",,,,,"Kids India, BKC Jio World Drive | Last purchased: 15th Sept 2024 | [Imported from supplier master sheet, Supplier ID 192]",True
Play Panda,Abhishaik Saigal (Managing Director),8779189028,,,sunny.playpandatoys@gmail.com,Toys — Manufacturer,"Plot # 10, Mahal Industrial Estate, Mahakali Road, Andheri East",,,,,"Kids India, BKC Jio World Drive | Last purchased: 15th Sept 2024 | [Imported from supplier master sheet, Supplier ID 193]",True
Baby Yank,Sharmila Shakkthi (Founder),9597758882,,,hello@babyyank.com,Toys — Manufacturer,"Coimbatore, Tamil Nadu",,,,,"Kids India, BKC Jio World Drive | Last purchased: 15th Sept 2024 | [Imported from supplier master sheet, Supplier ID 194]",True
Garg Sports International (GSI),Himani Goyal (Sr. Sales Executive),7302664877,,,himani.goyal@sportsgsi.com,Toys — Manufacturer,"Meerut, UP",,,,,"Kids India, BKC Jio World Drive | Last purchased: 15th Sept 2024 | [Imported from supplier master sheet, Supplier ID 195]",True
Rabbit,Sachin Mutha (Managing Director),9822477015,,,sm@rabbitcolors.com,Manufacturer,"Pune, Maharashtra",,,,,"Kids India, BKC Jio World Drive | Last purchased: 15th Sept 2024 | [Imported from supplier master sheet, Supplier ID 196]",True
Cute Agencies Pvt. Ltd.,Subhash Garg (Managing Director),9871309390,,,info@cuteagencies.com,Manufacturer,"Gurugram, Haryana",,,,https://drive.google.com/drive/folders/1J9NpAwgGceCptLul52eLxmo7i-GD4BOi,"Kids India, BKC Jio World Drive | Last purchased: 15th Sept 2024 | [Imported from supplier master sheet, Supplier ID 197]",True
Whimsy Beauty,Anooj (Sales Executive),9818115450,,,care@whimsyindia.com,Manufacturer,"RG Trade Tower, Netaji Subhash Palace, Pitampura, New Delhi",,,,https://drive.google.com/file/d/1L2Hpppy_Q6BV3UucHU9h0mEg872Vd8Nm/view?usp=drivesdk,"Kids India, BKC Jio World Drive | Last purchased: 15th Sept 2024 | [Imported from supplier master sheet, Supplier ID 198]",True
Bright International,,9167110077,,,,Gift Shop — Manufacturer,"294-296, Abdul Rehman Street, Mumbai",,,,,"Kids India, BKC Jio World Drive | Last purchased: 15th Sept 2024 | [Imported from supplier master sheet, Supplier ID 199]",True
Eksploe (Play Craft),Alok Gulati,9899022034,,,sales2@playcraft.in,Toys — Manufacturer,"Kirti Nagar, New Delhi",,,,https://view.publitas.com/play-craft-traders/playcraft-catalogue-july-2024-7e4zkyvawb98/page/1,"Kids India, BKC Jio World Drive | Last purchased: 15th Sept 2024 | [Imported from supplier master sheet, Supplier ID 200]",True
Chalk and Chuckles Products,,9667772395,,,info@chalkandchuckles.com,Art Store — Manufacturer,"Sonepat, Haryana",,,,,"Kids India, BKC Jio World Drive | Last purchased: 15th Sept 2024 | [Imported from supplier master sheet, Supplier ID 201]",True
Pep Play,Bhavya Sanwal (Director),9930429234,,,bhavya@pepplay.in,Art Store — Manufacturer,"Areya Packaging Pvt. Ltd. 114, Blue Rose Ind Estate, Borivali East, Mumbai",,,,www.pepplay.in,"Kids India, BKC Jio World Drive | Last purchased: 15th Sept 2024 | [Imported from supplier master sheet, Supplier ID 202]",True
Jouets bt EduSpark,,9372475696,,,info@edusparktoys.com,Manufacturer,,,,,https://infytap.com/edusparktoys,"Kids India, BKC Jio World Drive | Last purchased: 15th Sept 2024 | [Imported from supplier master sheet, Supplier ID 203]",True
EkoPlay Pvt. Ltd,Rajika Dhiren (Managing Director),9849204464,,,,Toys — Manufacturer,,,,,,"Kids India, BKC Jio World Drive | Last purchased: 15th Sept 2024 | [Imported from supplier master sheet, Supplier ID 204]",True
Gulshan Display Stands,,9892828662,9821210391,,gulshanacrylic@gmail.com,"Furniture — Wholesaler, A-Z Display solutions","149, Ruqaiyya Chambers, Janjikar Street, Corner of Nagdevi Street, Mumbai 400003",,,,,"Last purchased: 19th Sept 2024 | [Imported from supplier master sheet, Supplier ID 205]",True
Aashish Enterprises,,9322825543,,,,"Distributor - Tales, Artline, Maped","Chembur, F/6, Chembur Naka Municipal Market, Chembur, Mumbai 400071",,,,,"Last purchased: 21st Sept 2024 | [Imported from supplier master sheet, Supplier ID 206]",True
Ankita Mutharia,,8591333863,,,,,,,,,,"Last purchased: 21st Sept 2024 | [Imported from supplier master sheet, Supplier ID 207]",True
Swapnesh CA,,9769556662,,,,Services,,,,,,"Last purchased: 9th Oct 2024 | [Imported from supplier master sheet, Supplier ID 208]",True
Meesho,,,,,,,,,,,,"Last purchased: 9th Oct 2024 | [Imported from supplier master sheet, Supplier ID 209]",True
Flipkart,,,,,,,,,,,,"Last purchased: 9th Oct 2024 | [Imported from supplier master sheet, Supplier ID 210]",True
Amazon,,,,,,,,,,,,"Last purchased: 9th Oct 2024 | [Imported from supplier master sheet, Supplier ID 211]",True
"Patel Digital Printers, Powai",,9820173695,,,,Printer,"Powai, Near IIT-B",,,,,"Last purchased: 10th Oct 2024 | [Imported from supplier master sheet, Supplier ID 212]",True
Robomonk,Akash Sawant,7021604114,,,,,,,,,,"Last purchased: 13th Oct 2024 | [Imported from supplier master sheet, Supplier ID 213]",True
amazwoodNgift,,7718091234,9372806760,,,"wooden tray, display units","Unit no. 4, 2nd floor, industrial place, bhagogi keer marg, near paradise cinema, Mahim - 400016",,,,,"Last purchased: 18th Oct 2024 | [Imported from supplier master sheet, Supplier ID 214]",True
EXCLUSIVE DISPLAY SOLUTIONS,,7900043183,,,EMAIL-exclusivedisplays@gmail.com,Furniture — Black Movable Rack,"NEW GAUTAM NAGAR NO-2,
BEHIND MOHSIN HARDWARE SHOP, GOVANDI ,MUMBAI-400043",,,,,"Last purchased: 19th Oct 2024 | [Imported from supplier master sheet, Supplier ID 215]",True
Gokul Godrej One,,9768898408,,,,Food,,,,,,"Last purchased: 26th Oct 2024 | [Imported from supplier master sheet, Supplier ID 216]",True
Whatsapp,,,,,,Marketing,,,,,,"Last purchased: 5th Nov 2024 | [Imported from supplier master sheet, Supplier ID 217]",True
BookMyShow,,,,,,Marketing,,,,,,"Last purchased: 5th Nov 2024 | [Imported from supplier master sheet, Supplier ID 218]",True
Om Print,,9619913136,,,,Printer,"C-28, near Thambi, Vikhroli East Kailash Complex",,,,,"Last purchased: 7th Nov 2024 | [Imported from supplier master sheet, Supplier ID 219]",True
Janani,,9884550684,,,,Instructor,,,,,,"[Imported from supplier master sheet, Supplier ID 220]",True
Ashish Enterprises,Praveen Bhalla,9322825543,,,,"Distributor - tales, gift items, calculator, stationery",Chembur,,,,,"Last purchased: 15th Nov 2024 | [Imported from supplier master sheet, Supplier ID 221]",True
Bjyoti - Printer,,9821148855,,,,Printer,Chembur,,,,,"[Imported from supplier master sheet, Supplier ID 222]",True
Aiko,,9820996852,,,,Toys,"AIKO
221/2nd floor, Vihar Estate, 
Plot 94B, 
Off Saki Vihar Road, 
Chandivali, Mumbai 400072",,,,,"Last purchased: 28th Nov 2024 | [Imported from supplier master sheet, Supplier ID 223]",True
Mia Cucina,,,,,,Restaurant,"Vikhroli East, Godrej II Trees",,,,,"[Imported from supplier master sheet, Supplier ID 224]",True
Sagar Newspaper,,9833094619,,,,,,,,,,"Last purchased: 8th Dec 2024 | [Imported from supplier master sheet, Supplier ID 225]",True
B4 Platinum,,,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 226]",True
Vishal Stores,,9833704462,,,,,Crawford,,,,,"[Imported from supplier master sheet, Supplier ID 227]",True
Valji Bhai Potter,,9769988207,,,,,,,,,,"Last purchased: 14th Dec 2024 | [Imported from supplier master sheet, Supplier ID 228]",True
Mandakini Hotkar,,8424947703,,,,,,,,,,"Last purchased: 28th Dec 2024 | [Imported from supplier master sheet, Supplier ID 229]",True
Hari Bhai on Percussion,,,,,,,,,,,,"Last purchased: 28th Dec 2024 | [Imported from supplier master sheet, Supplier ID 230]",True
Ravi Sharma Guitarist,Ravi Sharma,8859725705,,,,,,,,,,"Last purchased: 28th Dec 2024 | [Imported from supplier master sheet, Supplier ID 231]",True
House of Sound,Mohit Nagpal,8779494726,,,,,,,,,,"Last purchased: 28th Dec 2024 | [Imported from supplier master sheet, Supplier ID 232]",True
Devaki,,9833778885,,,,Instructor,,,,,,"[Imported from supplier master sheet, Supplier ID 233]",True
Millennium International (Imagimake),Ankush,8652598722,,,,Art Store,,,,,,"[Imported from supplier master sheet, Supplier ID 234]",True
Kangaroo,,,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 235]",True
Shanmukhananda,,,,,,Venue,,,,,,"[Imported from supplier master sheet, Supplier ID 236]",True
Bholenath Yadav,,9892653221,,,,,,,,,,"Last purchased: 1st March 2025 | [Imported from supplier master sheet, Supplier ID 237]",True
Food,,,,,,Food,,,,,,"[Imported from supplier master sheet, Supplier ID 238]",True
Newspaper Kranti Sion Dosti,,9082773167,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 239]",True
Pradeep Decorators,,9220138198,,,,Shanmukhananda,,,,,,"[Imported from supplier master sheet, Supplier ID 240]",True
Matloob Mehbook Khan,,9619227482,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 241]",True
Abhishek Prabhu,,7977896606,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 242]",True
Palak Gupta,,6260491562,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 243]",True
Prasad Naik IPRS Shanmukhananda,,8108871796,,,,Shanmukhananda,,,,,,"[Imported from supplier master sheet, Supplier ID 244]",True
Prashant Trimbakkar Housekeeping Supervisor,,9867942270,,,,Shanmukhananda,,,,,,"[Imported from supplier master sheet, Supplier ID 245]",True
Milan Dedhia,,7977236410,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 246]",True
Sarika Photographer,,9820424080,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 247]",True
Rohit Dube - Ice Gola Event,,8452850995,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 248]",True
Savex Technologies (HP Printer Cartridge),,,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 249]",True
Sangeeta Bhargava Painter,,,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 250]",True
Magic Needles Private Limited Vikhroli West,,,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 251]",True
Petrol,,,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 252]",True
Soham Decorator,,,,,,Decorator,,,,,,"[Imported from supplier master sheet, Supplier ID 253]",True
Colorax Printer Powai,,,,,,Printer,,,,,,"[Imported from supplier master sheet, Supplier ID 254]",True
Trishn Pattainaik,,,,,,Instructor,,,,,,"[Imported from supplier master sheet, Supplier ID 255]",True
Sunny,,,,,,Host,,,,,,"[Imported from supplier master sheet, Supplier ID 256]",True
DJ Mayur,,,,,,DJ,,,,,,"[Imported from supplier master sheet, Supplier ID 257]",True
Airtel,,,,,,Utility,,,,,,"[Imported from supplier master sheet, Supplier ID 258]",True
WoW Party Shop,,,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 259]",True
Code 101,,,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 260]",True
Himanshi Event Myra,,,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 261]",True
Aditya Tattoo Event Ghatkopar,,,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 262]",True
Mitali Daryani,,9887094888,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 263]",True
Ayesha Sadhwani,,8884829854,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 264]",True
Preeti Karthik Storyteller,,9819619619,,,,Instructor,,,,,,"[Imported from supplier master sheet, Supplier ID 265]",True
Sangeeta Maid,,,,,,Cleander,,,,,,"[Imported from supplier master sheet, Supplier ID 266]",True
Arvind Yadav Newspaper Matunga,,,,,,Marketing,,,,,,"[Imported from supplier master sheet, Supplier ID 268]",True
Inish Photographer,,,,,,Photographer,,,,,,"[Imported from supplier master sheet, Supplier ID 269]",True
Urza Influencer,,,,,,Influencer,,,,,,"[Imported from supplier master sheet, Supplier ID 270]",True
Ai-Sensi,,,,,,Marketing,,,,,,"[Imported from supplier master sheet, Supplier ID 271]",True
Whatsapp,,,,,,Marketing,,,,,,"[Imported from supplier master sheet, Supplier ID 272]",True
Raki Book Club Pvt. Ltd,,,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 273]",True
Devangi Sanghvi - Cresent Stall,,9930661118,,,,Marketing,,,,,,"[Imported from supplier master sheet, Supplier ID 274]",True
Zomato,,,,,,Food,,,,,,"[Imported from supplier master sheet, Supplier ID 275]",True
Petrol,,,,,,Transport,,,,,,"[Imported from supplier master sheet, Supplier ID 276]",True
Sonal Bharadwaj,,,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 277]",True
Maniram Soft Toys Abdul Rehman,,9326750548,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 278]",True
Yamisha,,,,,,Instructor,,,,,,"[Imported from supplier master sheet, Supplier ID 279]",True
BNI,,,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 280]",True
Simram Talreja Amazon Reviews,,9399869442,,,,Marketing — Amazon Reviews,,,,,,"[Imported from supplier master sheet, Supplier ID 281]",True
Baker Pallavi  Velvette Patisserie,,9819800995,,,,"Food — Baker - Deonar Farm Road, Chembur",,,,,,"[Imported from supplier master sheet, Supplier ID 282]",True
Javed Shaikh - Porter Ravi Bhai,,9870578004,,,,Transport — Brings stuff from crawford to Platinum,,,,,,"[Imported from supplier master sheet, Supplier ID 283]",True
Deepika More,,,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 284]",True
Easemytrip,,,,,,Transport,,,,,,"[Imported from supplier master sheet, Supplier ID 285]",True
Sejal Tattoo,,8767942961,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 286]",True
Gayatri Salunke,,,,,,Instructor,,,,,,"[Imported from supplier master sheet, Supplier ID 287]",True
Subrata Florist,Prashant,9930121528,,,,Flowers,"Galleria, powai, mumbai",,,,,"[Imported from supplier master sheet, Supplier ID 288]",True
Klassic Dresswala,,9819245009,,,,Fancy Dress,"A - 16, Arihant D Colony, Owners Colony, Vidya Vihar East, Mumbai, Maharashtra 400077
Areas served: Mumbai and nearby areas",,,,,"[Imported from supplier master sheet, Supplier ID 289]",True
Sunil Pooja Grocery,,,,,,Food,"Godrej platinum, b3",,,,,"[Imported from supplier master sheet, Supplier ID 290]",True
Lalta Pav Bhaji,,,,,,Food,Tilak Nagar,,,,,"[Imported from supplier master sheet, Supplier ID 291]",True
Petrol,,,,,,Transport,,,,,,"[Imported from supplier master sheet, Supplier ID 292]",True
Grangs Kitchen,,9769399042,,,,Food,,,,,,"[Imported from supplier master sheet, Supplier ID 293]",True
Huecoast Tie & Die,Shivani,9324568508,,,,Vendor for Activity,,,,,,"[Imported from supplier master sheet, Supplier ID 294]",True
Tabussum Server,,,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 295]",True
"What a Pinata, Juhu",,,,,,Pinnata,,,,,,"[Imported from supplier master sheet, Supplier ID 296]",True
Newspaper Bhalchandra Wani,,,,,,"Marketing — Newspaper vendor for Vikhroli, Powai Hirandani and other areas",,,,,,"[Imported from supplier master sheet, Supplier ID 297]",True
Aditya Jayaraman,,,,,,Instructor,,,,,,"[Imported from supplier master sheet, Supplier ID 298]",True
Birdys Vikhroli,,,,,,Food,,,,,,"[Imported from supplier master sheet, Supplier ID 299]",True
"Title Waves, Vikhroli East",Trushant,,,,,Venue,,,,,,"[Imported from supplier master sheet, Supplier ID 300]",True
Kalakaram Andheri,,,,,,Art Store,,,,,,"[Imported from supplier master sheet, Supplier ID 301]",True
Leixyoptical Glasses Kalbadevi,,9769468633,,,,Gift Shop — Spy themed glasses,Kalbadevi,,,,,"[Imported from supplier master sheet, Supplier ID 302]",True
Scube Goregaon Tshirt Print,Yash,9769582105,,,,Printing,,,,,,"[Imported from supplier master sheet, Supplier ID 303]",True
Wondershop Experiences,,,,,,Events company,,,,,,"[Imported from supplier master sheet, Supplier ID 304]",True
Aditya Mehta Video Editor Raipur,,6202444916,,,,Social Media,,,,,,"[Imported from supplier master sheet, Supplier ID 305]",True
Santosh Mulund Projector,,9987022715,,,,Projector,,,,,,"[Imported from supplier master sheet, Supplier ID 306]",True
Toywala Mascot,,8866000222,,,,Mascot,,,,,,"[Imported from supplier master sheet, Supplier ID 307]",True
Rotary Club Powai,,,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 308]",True
Siddharth Nityanand,,9990475138,,,,Instructor,,,,,,"[Imported from supplier master sheet, Supplier ID 309]",True
Ccharmi - Event Manager,,9769622992,,,,Marketing,,,,,,"[Imported from supplier master sheet, Supplier ID 310]",True
Amazon FBA,,,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 311]",True
Maker Verse,,,,,,Toys,,,,,,"[Imported from supplier master sheet, Supplier ID 312]",True
Neha Prabhu Host,,9082116756,,,,Host,,,,,,"[Imported from supplier master sheet, Supplier ID 313]",True
Trendy Uniform Mahim,,7715052025,,,,,"Ground Floor, SATELLITE CLASSIC, B - 3/ 4, Station Rd, near Railway Station, opp. ISMAIL YUSUF COLLEGE, Subhash Nagar, Jogeshwari East, Mumbai, Maharashtra 400060, India",,,,,"[Imported from supplier master sheet, Supplier ID 314]",True
Imraan Curtain Tagore Nagar,,9930558503,,,,Furniture,,,,,,"[Imported from supplier master sheet, Supplier ID 315]",True
Drasty Goswami,,,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 316]",True
Pawan Dube Decorator Vashi,,,,,,Decorator,,,,,,"[Imported from supplier master sheet, Supplier ID 317]",True
Sohini Host,,,,,,Host,,,,,,"[Imported from supplier master sheet, Supplier ID 318]",True
Prashant Host,,,,,,Host,,,,,,"[Imported from supplier master sheet, Supplier ID 319]",True
Volunteer Vrushali,,,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 320]",True
Mitika Gala,,,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 321]",True
Akash Thane Cotton Candy Supplier,,9969330444,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 322]",True
Damodar Food NGMA,,9664999659,,,,Food,,,,,,"[Imported from supplier master sheet, Supplier ID 323]",True
Wonderfest Volunteer,,,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 324]",True
Tanushree Tattoo Artist,,,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 325]",True
NGMA Housekeeping,,,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 326]",True
NGMA Parking,,,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 327]",True
Shabbir Sir,,,,,,Printer,,,,,,"[Imported from supplier master sheet, Supplier ID 328]",True
Kidiaree,,,,,,Platform,,,,,,"[Imported from supplier master sheet, Supplier ID 329]",True
Raunaq Printer and Envelopes,,,,,,Printer,,,,,,"[Imported from supplier master sheet, Supplier ID 330]",True
Funblasters Event Management Company,,,,,,,,,,,,"[Imported from supplier master sheet, Supplier ID 331]",True
Maira Tattoo Artist,,,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 332]",True
Nia volunteer,,,,,,Volunteer,,,,,,"[Imported from supplier master sheet, Supplier ID 333]",True
Ambika Electricals,,,,,,Electrical,,,,,,"[Imported from supplier master sheet, Supplier ID 334]",True
Om Magician,,,,,,Artist,,,,,,"[Imported from supplier master sheet, Supplier ID 335]",True
Bubble Show Rajesh,,,,,,Artist,,,,,,"[Imported from supplier master sheet, Supplier ID 336]",True
Pepplay,,,,,,Art Store,,,,,,"[Imported from supplier master sheet, Supplier ID 337]",True
Canva,,,,,,Marketing,,,,,,"[Imported from supplier master sheet, Supplier ID 338]",True
LLP,,,,,,Utility,,,,,,"[Imported from supplier master sheet, Supplier ID 339]",True
Google Email,,,,,,Marketing,,,,,,"[Imported from supplier master sheet, Supplier ID 340]",True
